Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Lamouri, Djamel Rassem; Aouadj, Iheb Nassim; Kourta, Smail; Baghdadi, Riyadh; ",Pearl: Automatic code optimization using deep reinforcement learning,Proceedings of the 39th ACM International Conference on Supercomputing,,,959-974,2025,
"Lamouri, Djamel Rassem; Baudry, Dorian; Gast, Nicolas; ",The Bias of Nonlinear Two-Time-scale Stochastic Approximation under Constant Step-Sizes,arXiv preprint arXiv:2609.20409,,,,2026,
